,Year,Car,PTS,Champion,Average_points_Scored,No_of_times_secured_front_grid,Total_no_of_fastest_Laps,Win_percentage
265,1978,Tyrrell Ford,41.0,4,1.28125,0.0,0.0,0.0625
266,1978,Williams Ford,11.0,4,0.6875,0.0,2.0,0.0
267,1978,Wolf Ford,24.0,4,1.1428571428571428,0.0,0.0,0.0
268,1979,ATS Ford,2.0,4,0.14285714285714285,0.0,0.0,0.0
269,1979,Arrows Ford,5.0,4,0.17857142857142858,0.0,0.0,0.0
270,1979,Brabham Ford,7.0,4,0.0,0.0,1.0,0.0
271,1979,Ferrari,98.0,1,3.7666666666666666,2.0,6.0,0.4
272,1979,Fittipaldi Ford,1.0,4,0.06666666666666667,0.0,0.0,0.0
273,1979,Ligier Ford,59.0,3,2.033333333333333,4.0,3.0,0.2
274,1979,Lotus Ford,34.0,4,1.0,0.0,0.0,0.0
275,1979,McLaren Ford,15.0,4,0.5357142857142857,0.0,0.0,0.0
276,1979,Renault,26.0,4,0.8666666666666667,6.0,2.0,0.06666666666666667
277,1979,Shadow Ford,3.0,4,0.11538461538461539,0.0,0.0,0.0
278,1979,Tyrrell Ford,28.0,4,0.875,0.0,0.0,0.0
279,1979,Williams Ford,69.0,2,2.5,3.0,3.0,0.3333333333333333
280,1980,Alfa Romeo,4.0,4,0.15384615384615385,1.0,0.0,0.0
281,1980,Arrows Ford,11.0,4,0.3793103448275862,0.0,0.0,0.0
282,1980,Brabham Ford,55.0,3,1.9642857142857142,2.0,1.0,0.21428571428571427
283,1980,Ferrari,8.0,4,0.2962962962962963,0.0,0.0,0.0
284,1980,Fittipaldi Ford,11.0,4,0.4074074074074074,0.0,0.0,0.0
285,1980,Ligier Ford,66.0,2,2.357142857142857,3.0,3.0,0.14285714285714285
286,1980,Lotus Ford,14.0,4,0.45161290322580644,0.0,0.0,0.0
287,1980,McLaren Ford,11.0,4,0.4074074074074074,0.0,0.0,0.0
288,1980,Renault,38.0,4,1.4074074074074074,5.0,4.0,0.21428571428571427
289,1980,Tyrrell Ford,12.0,4,0.4,0.0,0.0,0.0
290,1980,Williams Ford,109.0,1,3.5294117647058822,3.0,6.0,0.42857142857142855
291,1981,ATS Ford,1.0,4,0.1111111111111111,0.0,0.0,0.0
292,1981,Alfa Romeo,10.0,4,0.3333333333333333,0.0,0.0,0.0
293,1981,Arrows Ford,10.0,4,0.4166666666666667,1.0,0.0,0.0
294,1981,Brabham Ford,61.0,2,2.103448275862069,4.0,1.0,0.2
295,1981,Ensign Ford,1.0,4,0.35714285714285715,0.0,1.0,0.0
296,1981,Ferrari,34.0,4,1.1333333333333333,1.0,2.0,0.13333333333333333
297,1981,Ligier Matra,45.0,4,1.5714285714285714,1.0,1.0,0.13333333333333333
298,1981,Lotus Ford,22.0,4,0.8148148148148148,0.0,0.0,0.0
299,1981,McLaren Ford,28.0,4,0.9655172413793104,0.0,1.0,0.06666666666666667
300,1981,Renault,54.0,3,1.8620689655172413,6.0,2.0,0.2
301,1981,Theodore Ford,4.0,4,0.07692307692307693,0.0,0.0,0.0
302,1981,Tyrrell Ford,10.0,4,0.38461538461538464,0.0,0.0,0.0
303,1981,Williams Ford,95.0,1,3.1666666666666665,2.0,7.0,0.26666666666666666
304,1982,ATS Ford,4.0,4,0.15384615384615385,0.0,0.0,0.0
305,1982,Alfa Romeo,7.0,4,0.21875,1.0,0.0,0.0
306,1982,Arrows Ford,5.0,4,0.20833333333333334,0.0,0.0,0.0
307,1982,Brabham BMW,41.0,4,1.0,0.0,0.0,0.0625
308,1982,Ferrari,74.0,1,3.3636363636363638,3.0,2.0,0.1875
309,1982,Fittipaldi Ford,1.0,4,0.1111111111111111,0.0,0.0,0.0
310,1982,Ligier Matra,20.0,4,0.6896551724137931,0.0,0.0,0.0
311,1982,Lotus Ford,30.0,4,1.0344827586206897,0.0,0.0,0.0625
312,1982,McLaren Ford,69.0,2,2.3793103448275863,0.0,2.0,0.25
313,1982,Osella Ford,3.0,4,0.2,0.0,0.0,0.0
314,1982,Renault,62.0,3,1.9375,10.0,5.0,0.25
315,1982,Tyrrell Ford,25.0,4,0.78125,0.0,2.0,0.0625
316,1982,Williams Ford,58.0,4,1.9333333333333333,1.0,0.0,0.0625
317,1983,Alfa Romeo,18.0,4,0.6206896551724138,0.0,1.0,0.0
318,1983,Arrows Ford,4.0,4,0.14285714285714285,0.0,0.0,0.0
319,1983,Brabham BMW,72.0,3,2.4827586206896552,6.0,5.0,0.26666666666666666
320,1983,Ferrari,89.0,1,3.0689655172413794,16.0,3.0,0.26666666666666666
321,1983,Lotus Renault,12.0,4,0.55,1.0,0.0,0.0
322,1983,McLaren Ford,22.0,4,1.7,0.0,0.0,0.06666666666666667
323,1983,McLaren TAG,12.0,4,0.0,0.0,2.0,0.0
324,1983,Renault,79.0,2,2.6333333333333333,6.0,3.0,0.26666666666666666
325,1983,Theodore Ford,1.0,4,0.047619047619047616,0.0,0.0,0.0
326,1983,Toleman Hart,10.0,4,0.3448275862068966,0.0,0.0,0.0
327,1983,Tyrrell Ford,12.0,4,0.4444444444444444,0.0,0.0,0.06666666666666667
328,1983,Williams Honda,38.0,4,1.0,0.0,0.0,0.0
329,1984,Alfa Romeo,11.0,4,0.36666666666666664,0.0,0.0,0.0
330,1984,Arrows BMW,6.0,4,0.15,0.0,0.0,0.0
331,1984,Brabham BMW,38.0,4,1.1875,10.0,3.0,0.125
332,1984,Ferrari,57.5,2,1.796875,3.0,2.0,0.0625
333,1984,Ligier Renault,3.0,4,0.10714285714285714,0.0,0.0,0.0
334,1984,Lotus Renault,47.0,3,1.46875,6.0,0.0,0.0
335,1984,McLaren TAG,143.5,1,4.484375,11.0,8.0,0.75
336,1984,Osella Alfa Romeo,2.0,4,0.1,0.0,0.0,0.0
337,1984,Renault,34.0,4,1.1724137931034482,1.0,2.0,0.0
338,1984,Toleman Hart,16.0,4,0.64,0.0,1.0,0.0
339,1984,Williams Honda,25.5,4,0.8225806451612904,1.0,0.0,0.0625
340,1985,Arrows BMW,14.0,4,0.4375,0.0,0.0,0.0
341,1985,Brabham BMW,26.0,4,0.8387096774193549,4.0,0.0,0.0625
342,1985,Ferrari,82.0,2,2.5625,2.0,2.0,0.125
343,1985,Ligier Renault,23.0,4,0.7666666666666667,0.0,1.0,0.0
344,1985,Lotus Renault,71.0,3,2.2903225806451615,11.0,3.0,0.1875
345,1985,McLaren TAG,87.0,1,3.0,3.0,6.0,0.375
346,1985,Renault,16.0,4,0.5161290322580645,0.0,0.0,0.0
347,1985,Tyrrell Renault,7.0,4,0.21428571428571427,0.0,0.0,0.0
348,1985,Williams Honda,71.0,3,2.2903225806451615,11.0,4.0,0.25
349,1986,Arrows BMW,1.0,4,0.03333333333333333,0.0,0.0,0.0
